Payment No,Payer Code,ORGANIZATION NAME,Beneficiary Name,Amount,Description
1000683620-128,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,OYO TAX,12259543.29,MAY 2020  UNIVERSITY COLLEGE H -OYO TAX
1000683620-68,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,Pension Alliance Limited,8710924.6,MAY 2020  UNIVERSITY COLLEGE H -Pension Alliance Limited
1000683620-118,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,CITYGATE GLOBAL2 INV LTD,8272325.19,MAY 2020  UNIVERSITY COLLEGE H -CITYGATE GLOBAL2 INV LTD
1000683620-104,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,LETSHEGO MFB,20638121.14,MAY 2020  UNIVERSITY COLLEGE H -LETSHEGO MFB
1000683620-99,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,Trust Funds Pensions Plc,7960738.62,MAY 2020  UNIVERSITY COLLEGE H -Trust Funds Pensions Plc
1000683620-98,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,IBTC Pension Managers,25102412.98,MAY 2020  UNIVERSITY COLLEGE H -IBTC Pension Managers
1000683620-77,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,UCH CAFI SOCIETY,43779877,MAY 2020  UNIVERSITY COLLEGE H -UCH CAFI SOCIETY
1000683620-71,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,Leadway Pensure PFA Limited,22475155.44,MAY 2020  UNIVERSITY COLLEGE H -Leadway Pensure PFA Limited
1000683620-69,0521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,ARM Pension Managers,5048090.68,MAY 2020  UNIVERSITY COLLEGE H -ARM Pension Managers
1000683619-86,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",CTLS IMAM TRUST UITH,66340681,MAY 2020  UNILORIN TEACHING HO -CTLS IMAM TRUST UITH
1000683619-85,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",CTLS IMAM TRUST UITH,8217755,MAY 2020  UNILORIN TEACHING HO -CTLS IMAM TRUST UITH
1000683619-80,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",UITH MEDICARE MULTIPURPOSE COOP,8074900,MAY 2020  UNILORIN TEACHING HO -UITH MEDICARE MULTIPURPOSE COOP
1000683619-78,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",CTLS UITH MEDICARE MULTIPURPOSE COOP,32106193,MAY 2020  UNILORIN TEACHING HO -CTLS UITH MEDICARE MULTIPURPOSE COOP
1000683619-73,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",CTSS UITH MDCAN,6383756,MAY 2020  UNILORIN TEACHING HO -CTSS UITH MDCAN
1000683619-68,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",KWARA TAX,47980684.68,MAY 2020  UNILORIN TEACHING HO -KWARA TAX
1000683619-90,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",Credit Direct Ltd Deduction,7009737.15,MAY 2020  UNILORIN TEACHING HO -Credit Direct Ltd Deduction
1000683619-30,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",Sigma Vaugn Sterling Pensions Limited,15178344.5,MAY 2020  UNILORIN TEACHING HO -Sigma Vaugn Sterling Pensions Limited
1000683619-55,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",IBTC Pension Managers,29908646.12,MAY 2020  UNILORIN TEACHING HO -IBTC Pension Managers
1000683619-26,0521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL, ILORIN",UNITH ARD DUES,8147500,MAY 2020  UNILORIN TEACHING HO -UNITH ARD DUES
